archetype,scenario,seed,year,relations,allies,pacts,tributes,claims,warsActive
passive,baseline,7,1,0,0,0,0,0,0
passive,baseline,7,2,0,0,0,0,0,0
passive,baseline,7,3,0,0,0,0,0,0
passive,baseline,7,4,0,0,0,0,0,0
passive,baseline,7,5,0,0,0,0,0,0
passive,baseline,7,6,0,0,0,0,0,0
passive,baseline,7,7,0,0,0,0,0,0
passive,baseline,7,8,0,0,0,0,0,0
passive,baseline,7,9,0,0,0,0,0,0
passive,baseline,7,10,0,0,0,0,0,0
passive,baseline,7,11,0,0,0,0,0,0
passive,baseline,7,12,0,0,0,0,0,0
passive,baseline,7,13,0,0,0,0,0,0
passive,baseline,7,14,0,0,0,0,0,0
passive,baseline,7,15,0,0,0,0,0,0
passive,baseline,7,16,0,0,0,0,0,0
passive,baseline,7,17,0,0,0,0,0,0
passive,baseline,7,18,0,0,0,0,0,0
passive,baseline,7,19,0,0,0,0,0,0
passive,baseline,7,20,0,0,0,0,0,0
passive,baseline,7,21,0,0,0,0,0,0
passive,baseline,7,22,0,0,0,0,0,0
passive,baseline,7,23,0,0,0,0,0,0
passive,baseline,7,24,0,0,0,0,0,0
passive,baseline,7,25,0,0,0,0,0,0
passive,baseline,19,1,0,0,0,0,0,0
passive,baseline,19,2,0,0,0,0,0,0
passive,baseline,19,3,0,0,0,0,0,0
passive,baseline,19,4,0,0,0,0,0,0
passive,baseline,19,5,0,0,0,0,0,0
passive,baseline,19,6,0,0,0,0,0,0
passive,baseline,19,7,0,0,0,0,0,0
passive,baseline,19,8,0,0,0,0,0,0
passive,baseline,19,9,0,0,0,0,0,0
passive,baseline,19,10,0,0,0,0,0,0
passive,baseline,19,11,0,0,0,0,0,0
passive,baseline,19,12,0,0,0,0,0,0
passive,baseline,19,13,0,0,0,0,0,0
passive,baseline,19,14,0,0,0,0,0,0
passive,baseline,19,15,0,0,0,0,0,0
passive,baseline,19,16,0,0,0,0,0,0
passive,baseline,19,17,0,0,0,0,0,0
passive,baseline,19,18,0,0,0,0,0,0
passive,baseline,19,19,0,0,0,0,0,0
passive,baseline,19,20,0,0,0,0,0,0
passive,baseline,19,21,0,0,0,0,0,0
passive,baseline,19,22,0,0,0,0,0,0
passive,baseline,19,23,0,0,0,0,0,0
passive,baseline,19,24,0,0,0,0,0,0
passive,baseline,19,25,0,0,0,0,0,0
passive,baseline,19,26,0,0,0,0,0,0
passive,baseline,19,27,0,0,0,0,0,0
passive,baseline,19,28,0,0,0,0,0,0
passive,baseline,19,29,0,0,0,0,0,0
passive,baseline,19,30,0,0,0,0,0,0
passive,baseline,19,31,0,0,0,0,0,0
passive,baseline,19,32,0,0,0,0,0,0
passive,baseline,19,33,0,0,0,0,0,0
passive,baseline,19,34,0,0,0,0,0,0
passive,baseline,19,35,0,0,0,0,0,0
passive,baseline,19,36,0,0,0,0,0,0
passive,baseline,19,37,0,0,0,0,0,0
passive,baseline,19,38,0,0,0,0,0,0
passive,baseline,19,39,0,0,0,0,0,0
passive,baseline,19,40,0,0,0,0,0,0
passive,baseline,19,41,0,0,0,0,0,0
passive,baseline,19,42,0,0,0,0,0,0
