archetype,seed,year,spyPosts,freeSpies,spyTech
passive,7,1,0,0,0
passive,7,2,0,0,0
passive,7,3,0,0,0
passive,7,4,0,0,0
passive,7,5,0,0,0
passive,7,6,0,0,0
passive,7,7,0,0,0
passive,7,8,0,0,0
passive,7,9,0,0,0
passive,7,10,0,0,0
passive,7,11,0,0,0
passive,7,12,0,0,0
passive,7,13,0,0,0
passive,7,14,0,0,0
passive,7,15,0,0,0
passive,7,16,0,0,0
passive,7,17,0,0,0
passive,7,18,0,0,0
passive,7,19,0,0,0
passive,7,20,0,0,0
passive,7,21,0,0,0
passive,7,22,0,0,0
passive,7,23,0,0,0
passive,7,24,0,0,0
passive,7,25,0,0,0
passive,42,1,0,0,0
passive,42,2,0,0,0
passive,42,3,0,0,0
passive,42,4,0,0,0
passive,42,5,0,0,0
passive,42,6,0,0,0
passive,42,7,0,0,0
passive,42,8,0,0,0
passive,42,9,0,0,0
passive,42,10,0,0,0
passive,42,11,0,0,0
passive,42,12,0,0,0
passive,42,13,0,0,0
passive,42,14,0,0,0
passive,42,15,0,0,0
passive,42,16,0,0,0
passive,42,17,0,0,0
passive,42,18,0,0,0
passive,42,19,0,0,0
passive,42,20,0,0,0
passive,42,21,0,0,0
passive,42,22,0,0,0
passive,42,23,0,0,0
passive,42,24,0,0,0
passive,42,25,0,0,0
passive,42,26,0,0,0
passive,42,27,0,0,0
passive,42,28,0,0,0
passive,42,29,0,0,0
passive,42,30,0,0,0
passive,42,31,0,0,0
passive,42,32,0,0,0
passive,42,33,0,0,0
passive,42,34,0,0,0
passive,42,35,0,0,0
passive,42,36,0,0,0
passive,42,37,0,0,0
passive,42,38,0,0,0
passive,42,39,0,0,0
passive,42,40,0,0,0
passive,42,41,0,0,0
passive,42,42,0,0,0
passive,42,43,0,0,0
passive,42,44,0,0,0
passive,42,45,0,0,0
conquest,7,1,0,0,0
conquest,7,2,0,0,0
conquest,7,3,0,0,0
conquest,7,4,0,0,0
conquest,7,5,0,0,0
conquest,7,6,0,0,0
conquest,7,7,0,0,0
conquest,7,8,0,0,0
conquest,7,9,0,0,0
