archetype,scenario,seed,year,faithPower,hasFaith,organizedFaiths,distinctFaiths
passive,baseline,7,1,0,0,2,16
passive,baseline,7,2,0,0,3,16
passive,baseline,7,3,0,0,4,16
passive,baseline,7,4,0,0,4,16
passive,baseline,7,5,0,0,4,16
passive,baseline,7,6,0,0,4,16
passive,baseline,7,7,0,0,5,16
passive,baseline,7,8,0,0,6,16
passive,baseline,7,9,0,0,6,16
passive,baseline,7,10,0,0,6,16
passive,baseline,7,11,0,0,6,16
passive,baseline,7,12,0,0,7,16
passive,baseline,7,13,0,0,7,16
passive,baseline,7,14,0,0,7,16
passive,baseline,7,15,0,0,7,16
passive,baseline,7,16,0,0,7,16
passive,baseline,7,17,0,0,7,16
passive,baseline,7,18,0,0,7,16
passive,baseline,7,19,0,0,7,16
passive,baseline,7,20,0,0,7,16
passive,baseline,7,21,0,0,7,16
passive,baseline,7,22,0,0,7,16
passive,baseline,7,23,0,0,7,16
passive,baseline,7,24,0,0,7,16
passive,baseline,7,25,0,0,7,16
passive,baseline,19,1,0,0,2,17
passive,baseline,19,2,0,0,3,17
passive,baseline,19,3,0,0,3,17
passive,baseline,19,4,0,0,3,17
passive,baseline,19,5,0,0,4,17
passive,baseline,19,6,0,0,5,17
passive,baseline,19,7,0,0,6,17
passive,baseline,19,8,0,0,6,17
passive,baseline,19,9,0,0,6,17
passive,baseline,19,10,0,0,6,17
passive,baseline,19,11,0,0,7,17
passive,baseline,19,12,0,0,7,17
passive,baseline,19,13,0,0,7,17
passive,baseline,19,14,0,0,7,17
passive,baseline,19,15,0,0,7,17
passive,baseline,19,16,0,0,7,17
passive,baseline,19,17,0,0,7,17
passive,baseline,19,18,0,0,7,17
passive,baseline,19,19,0,0,7,17
passive,baseline,19,20,0,0,7,17
passive,baseline,19,21,0,0,7,17
passive,baseline,19,22,0,0,7,17
passive,baseline,19,23,0,0,8,17
passive,baseline,19,24,0,0,8,17
passive,baseline,19,25,0,0,8,17
passive,baseline,19,26,0,0,8,17
passive,baseline,19,27,0,0,8,17
passive,baseline,19,28,0,0,8,17
passive,baseline,19,29,0,0,8,17
passive,baseline,19,30,0,0,8,17
passive,baseline,19,31,0,0,8,17
passive,baseline,19,32,0,0,8,17
passive,baseline,19,33,0,0,8,17
passive,baseline,19,34,0,0,8,17
passive,baseline,19,35,0,0,8,17
passive,baseline,19,36,0,0,8,17
passive,baseline,19,37,0,0,8,17
passive,baseline,19,38,0,0,8,17
passive,baseline,19,39,0,0,8,17
passive,baseline,19,40,0,0,8,17
passive,baseline,19,41,0,0,8,17
passive,baseline,19,42,0,0,8,17
passive,baseline,19,43,0,0,8,17
passive,baseline,19,44,0,0,8,17
passive,baseline,19,45,0,0,8,17
passive,baseline,19,46,0,0,8,17
passive,baseline,19,47,0,0,8,17
passive,baseline,19,48,0,0,8,17
passive,baseline,19,49,0,0,8,17
passive,baseline,19,50,0,0,8,17
passive,baseline,19,51,0,0,8,17
passive,baseline,19,52,0,0,8,17
passive,baseline,19,53,0,0,8,17
passive,baseline,19,54,0,0,8,17
passive,baseline,19,55,0,0,8,17
passive,baseline,19,56,0,0,8,17
passive,baseline,19,57,0,0,8,17
passive,baseline,19,58,0,0,8,17
passive,baseline,19,59,0,0,8,17
passive,baseline,19,60,0,0,8,17
passive,baseline,19,61,0,0,8,17
passive,baseline,19,62,0,0,8,17
passive,baseline,19,63,0,0,8,17
passive,baseline,19,64,0,0,8,17
passive,baseline,19,65,0,0,8,17
passive,baseline,19,66,0,0,8,17
passive,baseline,19,67,0,0,8,17
passive,baseline,19,68,0,0,8,17
passive,baseline,19,69,0,0,8,17
passive,baseline,19,70,0,0,8,17
passive,baseline,19,71,0,0,8,17
passive,baseline,19,72,0,0,8,17
passive,baseline,19,73,0,0,8,17
passive,baseline,19,74,0,0,8,17
passive,baseline,19,75,0,0,8,17
passive,baseline,19,76,0,0,8,17
passive,baseline,19,77,0,0,8,17
passive,baseline,19,78,0,0,8,17
passive,baseline,19,79,0,0,8,17
passive,baseline,19,80,0,0,8,17
passive,baseline,19,81,0,0,8,17
passive,baseline,19,82,0,0,8,17
passive,baseline,19,83,0,0,8,17
passive,baseline,19,84,0,0,8,17
passive,baseline,19,85,0,0,8,17
passive,baseline,19,86,0,0,8,17
passive,baseline,19,87,0,0,8,17
passive,baseline,19,88,0,0,8,17
passive,baseline,19,89,0,0,8,17
passive,baseline,19,90,0,0,8,17
passive,baseline,19,91,0,0,8,17
passive,baseline,19,92,0,0,8,17
passive,baseline,19,93,0,0,8,17
passive,baseline,19,94,0,0,8,17
passive,baseline,19,95,0,0,8,17
passive,baseline,19,96,0,0,8,17
passive,baseline,19,97,0,0,8,17
passive,baseline,19,98,0,0,8,17
passive,baseline,19,99,0,0,8,17
passive,baseline,19,100,0,0,8,17
passive,baseline,42,1,0,0,2,17
passive,baseline,42,2,0,0,2,17
passive,baseline,42,3,0,0,2,17
passive,baseline,42,4,0,0,2,17
passive,baseline,42,5,0,0,3,17
passive,baseline,42,6,0,0,3,17
passive,baseline,42,7,0,0,3,17
passive,baseline,42,8,0,0,3,17
passive,baseline,42,9,0,0,3,17
passive,baseline,42,10,0,0,3,17
passive,baseline,42,11,0,0,3,17
passive,baseline,42,12,0,0,3,17
passive,baseline,42,13,0,0,3,17
passive,baseline,42,14,0,0,4,17
passive,baseline,42,15,0,0,4,17
passive,baseline,42,16,0,0,4,17
passive,baseline,42,17,0,0,4,17
passive,baseline,42,18,0,0,4,17
passive,baseline,42,19,0,0,4,17
