archetype,scenario,seed,year,techs,researchActive,scholars,allTechDone
passive,baseline,7,1,2,,0,0
passive,baseline,7,2,2,,0,0
passive,baseline,7,3,2,,0,0
passive,baseline,7,4,2,,0,0
passive,baseline,7,5,2,,0,0
passive,baseline,7,6,2,,0,0
passive,baseline,7,7,2,,0,0
passive,baseline,7,8,2,,0,0
passive,baseline,7,9,2,,0,0
passive,baseline,7,10,2,,0,0
passive,baseline,7,11,2,,0,0
passive,baseline,7,12,2,,0,0
passive,baseline,7,13,2,,0,0
passive,baseline,7,14,2,,0,0
passive,baseline,7,15,2,,0,0
passive,baseline,7,16,2,,0,0
passive,baseline,7,17,2,,0,0
passive,baseline,7,18,2,,0,0
passive,baseline,7,19,2,,0,0
passive,baseline,7,20,2,,0,0
passive,baseline,7,21,2,,0,0
passive,baseline,7,22,2,,0,0
passive,baseline,7,23,2,,0,0
passive,baseline,7,24,2,,0,0
passive,baseline,7,25,2,,0,0
passive,baseline,19,1,2,,0,0
passive,baseline,19,2,2,,0,0
passive,baseline,19,3,2,,0,0
passive,baseline,19,4,2,,0,0
passive,baseline,19,5,2,,0,0
passive,baseline,19,6,2,,0,0
passive,baseline,19,7,2,,0,0
passive,baseline,19,8,2,,0,0
passive,baseline,19,9,2,,0,0
passive,baseline,19,10,2,,0,0
passive,baseline,19,11,2,,0,0
passive,baseline,19,12,2,,0,0
passive,baseline,19,13,2,,0,0
passive,baseline,19,14,2,,0,0
passive,baseline,19,15,2,,0,0
passive,baseline,19,16,2,,0,0
passive,baseline,19,17,2,,0,0
passive,baseline,19,18,2,,0,0
passive,baseline,19,19,2,,0,0
passive,baseline,19,20,2,,0,0
passive,baseline,19,21,2,,0,0
passive,baseline,19,22,2,,0,0
passive,baseline,19,23,2,,0,0
passive,baseline,19,24,2,,0,0
passive,baseline,19,25,2,,0,0
passive,baseline,19,26,2,,0,0
passive,baseline,19,27,2,,0,0
passive,baseline,19,28,2,,0,0
passive,baseline,19,29,2,,0,0
passive,baseline,19,30,2,,0,0
passive,baseline,19,31,2,,0,0
passive,baseline,19,32,2,,0,0
passive,baseline,19,33,2,,0,0
passive,baseline,19,34,2,,0,0
passive,baseline,19,35,2,,0,0
passive,baseline,19,36,2,,0,0
passive,baseline,19,37,2,,0,0
passive,baseline,19,38,2,,0,0
passive,baseline,19,39,2,,0,0
passive,baseline,19,40,2,,0,0
passive,baseline,19,41,2,,0,0
passive,baseline,19,42,2,,0,0
passive,baseline,19,43,2,,0,0
